cond,dur,word_stim,correct_resp,conditions.thisRepN,conditions.thisTrialN,conditions.thisN,conditions.thisIndex,word_stimuli.thisRepN,word_stimuli.thisTrialN,word_stimuli.thisN,word_stimuli.thisIndex,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,cross.started,cross.stopped,words.started,words.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0.5,smiled,right,0,0,0,0,0,16,16,8,,,,,,,,,,,,,,,76.76363470000797,77.27043470001081,77.25369859999046,77.75382740001078,right,0.617645199992694,77.25369859999046,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,black,right,0,0,0,0,0,17,17,12,,,,,,,,,,,,,,,77.90024370001629,78.4035463000182,78.3875701999932,78.88674449999235,None,,78.3875701999932,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,grey,left,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,79.39247079999768,79.90322919999016,79.88638229999924,80.38627620000625,left,0.7091551999910735,79.88638229999924,79.39247079999768,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,run,left,0,0,0,0,0,19,19,17,,,,,,,,,,,,,,,80.63297700000112,81.13636649999535,81.11963200001628,81.61954360001255,None,,81.11963200001628,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,paused,right,0,0,0,0,0,20,20,3,,,,,,,,,,,,,,,82.12805359999766,82.63598670001375,82.61919180001132,83.11911480000708,left,0.6553563000052236,82.61919180001132,82.12805359999766,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,man,left,0,0,0,0,0,21,21,26,,,,,,,,,,,,,,,83.30727029999252,83.81980460000341,83.80242330001784,84.30223279999336,right,0.694585699995514,83.80242330001784,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,frowned,left,0,0,0,0,0,22,22,25,,,,,,,,,,,,,,,84.52978660000372,85.0374157000042,85.01891300000716,85.51875419999124,None,,85.01891300000716,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,keep,right,0,0,0,0,0,23,23,11,,,,,,,,,,,,,,,86.02363119999063,86.53506729999208,86.51845560001675,87.01853840000695,right,0.8136530000192579,86.51845560001675,86.02363119999063,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,dad,left,0,0,0,0,0,24,24,20,,,,,,,,,,,,,,,87.36036150000291,87.86840020000818,87.85175309999613,88.35155540000414,left,0.7650442000012845,87.85175309999613,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,region,left,0,0,0,0,0,25,25,24,,,,,,,,,,,,,,,88.6466549000179,89.15153870001086,89.13465419999557,89.634561999992,left,0.612299600004917,89.13465419999557,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,shouted,left,0,0,0,0,0,26,26,29,,,,,,,,,,,,,,,89.77482600000803,90.28452899999684,90.26775040000211,90.76774690000457,left,0.6009225999878254,90.26775040000211,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,white,right,0,0,0,0,0,27,27,6,,,,,,,,,,,,,,,90.89384010000504,91.40084260000731,91.36762770000496,91.86739420000231,right,0.7752194000058807,91.36762770000496,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,cute,left,0,0,0,0,0,28,28,22,,,,,,,,,,,,,,,92.20943829999305,92.71733489999315,92.70148220000556,93.20057469999301,left,0.876599899987923,92.70148220000556,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
1,0.5,lick,right,0,0,0,0,0,29,29,10,,,,,,,,,,,,,,,93.60950300001423,94.11704559999635,94.10044189999462,94.60007479999331,right,0.7927082999958657,94.10044189999462,None,,,participant10,001,2021_Dec_01_1616,Memory_Task,2021.2.3,59.97681296210682,
