cond,dur,word_stim,correct_resp,conditions.thisRepN,conditions.thisTrialN,conditions.thisN,conditions.thisIndex,word_stimuli.thisRepN,word_stimuli.thisTrialN,word_stimuli.thisN,word_stimuli.thisIndex,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,cross.started,cross.stopped,words.started,words.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,26.54574080000748,None,z,26.223725200019544,26.54574080000748,None,,,,,,,,,,,,,,,,,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
,,,,,,,,,,,,,,,,,,52.817626500007464,None,z,23.65924300000188,52.817626500007464,None,,,,,,,,,,,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,region,left,0,0,0,0,0,0,0,24,,,,,,,,,,,,,76.55425070002093,None,78.62810910001281,79.1304938000103,79.11371470001177,79.61366970001836,None,79.11371470001177,None,,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,entryway,right,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,80.1663499000133,80.68040660000406,80.66360240001814,None,left,80.66360240001814,80.1663499000133,0.3475802000029944,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,minute,right,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,81.0393277000112,81.54664179999963,81.5299807000265,82.03001870002481,None,81.5299807000265,None,,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,grey,left,0,0,0,0,0,3,3,18,,,,,,,,,,,,,,,82.53769580001244,83.04647130001104,83.02961360002519,83.52942770000664,left,83.02961360002519,82.53769580001244,0.8475105999968946,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,dad,left,0,0,0,0,0,4,4,20,,,,,,,,,,,,,,,83.93634230000316,84.44607540001743,84.42900670002564,84.9294381000218,left,84.42900670002564,None,0.7025876000116114,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,frowned,left,0,0,0,0,0,5,5,25,,,,,,,,,,,,,,,85.1732636000088,85.67936000000918,85.66261170001235,86.16255280000041,left,85.66261170001235,None,0.5582184999948367,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,black,right,0,0,0,0,0,6,6,12,,,,,,,,,,,,,,,86.26704440001049,86.80481470000814,86.790616400016,87.29546020002454,left,86.790616400016,None,0.6016620000009425,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,smiled,right,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,87.41982430001372,87.92870830002357,87.91267560000415,88.41201810000348,left,87.91267560000415,None,0.5455312999838497,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,hugged,right,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,88.48567150000599,88.9951895000122,88.97841600002721,89.47850600001402,right,88.97841600002721,None,0.8228324999799952,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,man,left,0,0,0,0,0,9,9,26,,,,,,,,,,,,,,,89.83561300000292,90.3448545000283,90.3283232000249,90.82830680001643,left,90.3283232000249,None,0.5579625999962445,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,paused,right,0,0,0,0,0,10,10,3,,,,,,,,,,,,,,,90.91979590000119,91.42833080000128,91.41125820000889,91.91135500001837,right,91.41125820000889,None,0.7423809000174515,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,feared,left,0,0,0,0,0,11,11,23,,,,,,,,,,,,,,,92.19289400000707,92.69526420001057,92.67786060000071,None,left,92.67786060000071,None,0.4540045000030659,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,driveway,left,0,0,0,0,0,12,12,15,,,,,,,,,,,,,,,93.21430180000607,93.72772880000412,93.71082400000887,94.21098680002615,None,93.71082400000887,None,,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,small,left,0,0,0,0,0,13,13,28,,,,,,,,,,,,,,,94.75073900001007,95.26079350002692,95.2440255000256,95.74358440001379,left,95.2440255000256,94.75073900001007,0.5785104999959003,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,whistled,right,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,95.88883550002356,96.39379610001924,96.37700620002579,None,left,96.37700620002579,None,0.44169379997765645,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,spots,right,0,0,0,0,0,15,15,5,,,,,,,,,,,,,,,96.85371440000017,97.36026560000028,97.34372830000939,97.8432129000139,right,97.34372830000939,None,0.6957083999877796,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,breeder,right,0,0,0,0,0,16,16,0,,,,,,,,,,,,,,,98.0715927000274,98.57667650000076,98.5601135000179,99.05991310000536,right,98.5601135000179,None,0.5979258000152186,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,run,left,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,99.1944768000103,99.70983750000596,99.67664380001952,100.1764974000107,left,99.67664380001952,None,0.6575607999984641,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,family,left,0,0,0,0,0,18,18,21,,,,,,,,,,,,,,,100.37140610002098,100.87630720000016,100.85960970001179,101.35958350001602,right,100.85960970001179,None,0.6687758999760263,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,two,right,0,0,0,0,0,19,19,4,,,,,,,,,,,,,,,101.57045370002743,102.07606380002107,102.06048430001829,102.57613750000019,left,102.06048430001829,None,0.707878500019433,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,thinking,left,0,0,0,0,0,20,20,16,,,,,,,,,,,,,,,102.8073304000136,103.30928020001738,103.29261340000085,103.79239680001047,left,103.29261340000085,None,0.5264290000195615,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,white,right,0,0,0,0,0,21,21,6,,,,,,,,,,,,,,,103.85089150001295,104.38546450002468,104.37146670001675,104.87550800002646,right,104.37146670001675,None,0.7123829000047408,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,lick,right,0,0,0,0,0,22,22,10,,,,,,,,,,,,,,,105.12035710000782,105.62513700002455,105.60875040001702,106.10853540000971,right,105.60875040001702,None,0.8302008000027854,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,cute,left,0,0,0,0,0,23,23,22,,,,,,,,,,,,,,,106.46922480000649,106.97522010002285,106.95853690002696,None,left,106.95853690002696,None,0.4807279000233393,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,favourite,right,0,0,0,0,0,24,24,13,,,,,,,,,,,,,,,107.50189530002535,108.00802970002405,107.99162760001491,108.49151100000017,left,107.99162760001491,None,0.543307999992976,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,shouted,left,0,0,0,0,0,25,25,29,,,,,,,,,,,,,,,108.57021280002664,109.07474080001703,109.0580683000153,None,left,109.0580683000153,None,0.46163040000828914,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,name,right,0,0,0,0,0,26,26,7,,,,,,,,,,,,,,,109.55072780000046,110.05779960000655,110.02432190001127,110.52442330002668,right,110.02432190001127,None,0.9223278000135906,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,keep,right,0,0,0,0,0,27,27,11,,,,,,,,,,,,,,,110.98593640001491,111.4908698000072,111.47411450001528,None,right,111.47411450001528,None,0.381477899994934,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,dog,left,0,0,0,0,0,28,28,19,,,,,,,,,,,,,,,111.8808330000029,112.3907888000249,112.37421639999957,112.87399970000843,right,112.37421639999957,None,0.6079511999851093,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,call,left,0,0,0,0,0,29,29,27,,,,,,,,,,,,,,,113.01627380002174,113.52346039999975,113.49051990002044,113.99033540001255,right,113.49051990002044,None,0.710351499990793,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
1,0.5,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,frowned,left,0,1,1,1,0,0,0,25,,,,,,,,,,,,,,,114.26821320000454,114.77362760002143,114.75690040001064,None,left,114.75690040001064,None,0.7903522000124212,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,white,right,0,1,1,1,0,1,1,6,,,,,,,,,,,,,,,115.58452450000914,116.0900510000065,116.0733859000029,None,right,116.0733859000029,None,0.7227231999859214,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,whistled,right,0,1,1,1,0,2,2,14,,,,,,,,,,,,,,,116.86560730001656,117.37306690000696,117.35633950002375,None,right,117.35633950002375,None,0.6751232999959029,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,thinking,left,0,1,1,1,0,3,3,16,,,,,,,,,,,,,,,118.064391300024,118.5726087000221,118.55615540000144,None,left,118.55615540000144,None,0.7057488999853376,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,spots,right,0,1,1,1,0,4,4,5,,,,,,,,,,,,,,,119.29678970001987,119.80585470001097,119.78932540002279,None,left,119.78932540002279,None,0.7480563000135589,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,keep,right,0,1,1,1,0,5,5,11,,,,,,,,,,,,,,,120.56574640001054,121.0724263000011,121.05579340000986,None,None,121.05579340000986,None,,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,hugged,right,0,1,1,1,0,6,6,1,,,,,,,,,,,,,,,122.06502770000952,122.57225460000336,122.55544250001549,122.06502770000952,right,122.55544250001549,122.06502770000952,0.733611400006339,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,region,left,0,1,1,1,0,7,7,24,,,,,,,,,,,,,,,123.31513790000463,123.82188690002658,123.80512340000132,None,left,123.80512340000132,None,0.6942302999959793,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,family,left,0,1,1,1,0,8,8,21,,,,,,,,,,,,,,,124.53154450000147,125.03950600000098,125.02164010002161,None,left,125.02164010002161,None,0.6076149999862537,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,entryway,right,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,125.66635810001753,126.1715904000157,126.15471360000083,None,right,126.15471360000083,None,0.6083881999948062,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,dad,left,0,1,1,1,0,10,10,20,,,,,,,,,,,,,,,126.79261110001244,127.30453990001115,127.287839000026,None,left,127.287839000026,None,0.7709091000142507,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,run,left,0,1,1,1,0,11,11,17,,,,,,,,,,,,,,,128.09783230000176,128.60429720001412,128.5709244000027,None,None,128.5709244000027,None,,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,call,left,0,1,1,1,0,12,12,27,,,,,,,,,,,,,,,129.5764146000147,130.08720540002105,130.07068880001316,129.5764146000147,None,130.07068880001316,129.5764146000147,,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,name,right,0,1,1,1,0,13,13,7,,,,,,,,,,,,,,,131.0805984000035,131.58703850000165,131.57032280002022,131.0805984000035,left,131.57032280002022,131.0805984000035,0.7342801000049803,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,smiled,right,0,1,1,1,0,14,14,8,,,,,,,,,,,,,,,132.3486146000214,132.87954200000968,132.86567050000303,None,left,132.86567050000303,None,0.6539876000024378,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,man,left,0,1,1,1,0,15,15,26,,,,,,,,,,,,,,,133.57435340000666,134.08651260001352,134.06980010002735,None,left,134.06980010002735,None,0.6060766000009608,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,breeder,right,0,1,1,1,0,16,16,0,,,,,,,,,,,,,,,134.7414111000253,135.25294540001778,135.23646670000744,None,right,135.23646670000744,None,0.5983007999893744,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,dog,left,0,1,1,1,0,17,17,19,,,,,,,,,,,,,,,135.89115610002773,136.4028237000166,136.38616440002806,None,right,136.38616440002806,None,0.6738742000015918,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,cute,left,0,1,1,1,0,18,18,22,,,,,,,,,,,,,,,137.09418820001883,137.60257250000723,137.58579270000337,None,left,137.58579270000337,None,0.6244240999803878,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
2,1,grey,left,0,1,1,1,0,19,19,18,,,,,,,,,,,,,,,138.24383859999944,138.75222900000517,138.73542740000994,None,left,138.73542740000994,None,0.7250717999995686,,,Participant 1,001,2021_Dec_01_1416,Memory_Task,2021.2.3,60.07283230748893,
