cond,dur,word_stim,correct_resp,conditions.thisRepN,conditions.thisTrialN,conditions.thisN,conditions.thisIndex,word_stimuli.thisRepN,word_stimuli.thisTrialN,word_stimuli.thisN,word_stimuli.thisIndex,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,cross.started,cross.stopped,words.started,words.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,1,spots,right,0,0,0,1,0,17,17,5,,,,,,,,,,,,,,,67.9333539000072,68.43801559999702,68.42152380000334,None,left,0.8122881000163034,68.42152380000334,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,feared,left,0,0,0,1,0,18,18,23,,,,,,,,,,,,,,,69.26516050001374,69.77121890001581,69.75439869999536,None,left,0.6579466999974102,69.75439869999536,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,name,right,0,0,0,1,0,19,19,7,,,,,,,,,,,,,,,70.44484999999986,70.95428360000369,70.93770330000552,None,right,0.819696099992143,70.93770330000552,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,driveway,left,0,0,0,1,0,20,20,15,,,,,,,,,,,,,,,71.80391149999923,72.30409680001321,72.28745730000082,None,None,,72.28745730000082,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,run,left,0,0,0,1,0,21,21,17,,,,,,,,,,,,,,,73.29243560001487,73.8262945000024,73.8139882000105,73.29243560001487,left,0.8919279999972787,73.8139882000105,73.29243560001487,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,thinking,left,0,0,0,1,0,22,22,16,,,,,,,,,,,,,,,74.74878870000248,75.25351400001091,75.23679059999995,None,left,0.7122257000009995,75.23679059999995,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,frowned,left,0,0,0,1,0,23,23,25,,,,,,,,,,,,,,,75.97936779999873,76.48665390000679,76.46996620000573,None,left,0.7141187000088394,76.46996620000573,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,region,left,0,0,0,1,0,24,24,24,,,,,,,,,,,,,,,77.21403689999715,77.74413940001978,77.73084880001261,None,left,0.5481876000121702,77.73084880001261,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,favourite,right,0,0,0,1,0,25,25,13,,,,,,,,,,,,,,,78.3187384000048,78.82435010001063,78.80862240001443,None,left,0.6265514999977313,78.80862240001443,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,family,left,0,0,0,1,0,26,26,21,,,,,,,,,,,,,,,79.46368770001573,79.96961990001728,79.95307210000465,None,left,0.7364557000109926,79.95307210000465,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,two,right,0,0,0,1,0,27,27,4,,,,,,,,,,,,,,,80.72877159999916,81.23573650000617,81.21907010002178,None,left,0.5977147999801673,81.21907010002178,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,keep,right,0,0,0,1,0,28,28,11,,,,,,,,,,,,,,,81.87373799999477,82.38703959999839,82.36876559999655,None,left,0.6664691000187304,82.36876559999655,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,smiled,right,0,0,0,1,0,29,29,8,,,,,,,,,,,,,,,83.07555350000621,83.58509619999677,83.57002860002103,None,left,0.5704398999805562,83.57002860002103,None,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
2,1,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,participant 3,001,2021_Dec_01_1443,Memory_Task,2021.2.3,59.835703125679835,
